match_id,team_name,kills,headshots,assists,flash_assists,deaths,kd_ratio,kd_diff,adr,fk_dif,rating,tier
65427,EURONICS,18.4,18.4,10.4,5.2,2.0,13.0,80.0,5.4,85.4,1.0,T4
65427,Epsilon,13.0,13.0,5.8,3.6,0.8,18.4,60.9,-5.4,66.0,-1.0,T4
65428,Windigo,21.8,21.8,10.8,7.0,2.8,22.2,69.3,-0.4,78.2,0.8,T4
65428,AGO,22.0,22.0,9.4,6.6,1.0,21.8,71.3,0.2,78.9,-0.8,T4
65429,Singularity,17.4,17.4,7.6,6.8,2.2,19.6,71.4,-2.2,70.3,-0.8,T4
65429,GODSENT,19.6,19.6,9.4,3.6,1.2,17.4,75.0,2.2,75.8,0.8,T6
65430,Quantum Bellator Fire,18.0,18.0,7.8,4.8,2.0,13.8,72.0,4.2,77.7,0.6,T6
65430,Ha MaSSe,13.8,13.8,6.8,2.8,0.4,18.0,60.0,-4.2,65.1,-0.6,T6
65431,Epiphany Bolt,17.6,17.6,9.2,4.2,0.2,21.6,68.3,-4.0,71.2,0.2,T6
65431,Enyoy,21.4,21.4,8.8,5.6,1.0,17.6,80.0,3.8,81.4,-0.2,T6
65432,EURONICS,21.4,21.4,11.6,7.4,3.2,19.6,73.3,1.8,76.2,1.6,T4
65432,Epsilon,19.6,19.6,8.0,6.2,1.6,21.4,68.0,-1.8,71.7,-1.6,T4
65433,Singularity,7.8,7.8,4.0,2.8,0.8,15.8,52.9,-8.0,62.2,-2.6,T4
65433,GODSENT,15.6,15.6,8.6,4.4,2.4,7.8,87.1,7.8,92.5,2.4,T6
65434,fnatic Academy,24.0,24.0,9.4,4.8,1.0,20.4,74.1,3.6,77.4,-0.4,T6
65434,GameAgents,20.4,20.4,9.2,4.6,1.0,24.0,64.7,-3.6,69.4,0.4,T6
65436,Kinguin,18.2,18.2,7.4,4.2,1.2,12.8,78.2,5.4,85.6,2.0,T4
65436,eXtatus,12.8,12.8,6.8,2.8,0.4,18.2,60.0,-5.4,69.3,-2.0,T6
65437,Quantum Bellator Fire,18.8,18.8,8.2,4.4,1.2,12.0,85.7,6.8,92.9,1.4,T6
65437,Ha MaSSe,12.0,12.0,5.6,2.2,0.2,18.8,61.9,-6.8,64.2,-1.4,T6
65438,Windigo,19.6,19.6,7.2,4.2,0.6,17.0,73.8,2.6,73.9,1.0,T4
65438,AGO,17.0,17.0,9.0,3.6,0.4,19.6,65.5,-2.6,68.3,-1.0,T4
65439,Windigo,23.4,23.4,8.6,8.6,2.0,25.0,74.1,-1.6,76.1,-0.8,T4
65439,AGO,25.0,25.0,10.0,6.4,2.2,23.4,74.7,1.6,79.0,0.8,T4
65441,Rogue,20.4,20.4,8.8,4.8,1.0,16.0,76.3,4.4,80.0,0.2,T4
65441,Dignitas,16.0,16.0,7.2,4.8,1.2,20.4,65.2,-4.4,70.0,-0.2,T6
65444,C4,18.6,18.6,6.4,4.4,1.2,12.0,77.2,6.6,93.5,1.4,T6
65445,CSBL,15.2,15.2,7.4,2.6,0.4,19.6,64.0,-4.4,69.1,-1.0,T6
65446,Bravado,7.8,7.8,3.6,1.6,0.4,16.2,44.5,-8.4,56.5,0.0,T3
65447,Bravado,19.0,19.0,9.4,5.6,2.4,20.8,65.3,-1.8,70.7,0.0,T3
65448,Rogue,38.2,38.2,16.8,9.4,2.4,35.0,72.6,3.2,76.3,0.4,T4
65448,Dignitas,35.0,35.0,14.6,8.6,1.2,38.4,65.6,-3.4,71.2,-0.4,T6
65453,Bravado,23.2,23.2,8.8,4.6,1.2,18.2,74.0,5.0,84.0,0.8,T3
65454,Chiefs,17.4,17.4,5.8,6.6,2.2,8.8,86.3,8.6,94.1,2.2,T4
65454,Ground Zero,8.8,8.8,3.6,1.8,0.0,17.4,49.4,-8.6,58.9,-2.2,T5
65455,FaZe,16.4,16.4,7.8,4.4,0.6,6.2,92.9,10.2,97.3,1.4,T1
65455,Envy,6.2,6.2,2.4,1.8,0.2,16.6,42.3,-10.4,52.3,-1.4,T4
65456,Ground Zero,21.4,21.4,8.8,5.0,0.6,18.4,76.4,3.0,78.1,-0.4,T5
65456,Chiefs,18.4,18.4,8.4,6.2,2.2,21.4,70.0,-3.0,77.6,0.4,T4
65457,mousesports,18.8,18.8,9.4,4.4,1.6,17.8,72.4,1.0,71.5,0.6,T1
65457,Valiance,17.8,17.8,6.8,3.4,0.2,18.8,71.7,-1.0,68.0,-0.6,T4
65458,SK,17.4,17.4,7.4,3.6,1.0,21.6,63.5,-4.2,69.1,-0.6,T6
65458,NiP,21.6,21.6,9.8,6.2,0.8,17.4,74.5,4.2,77.4,0.6,T1
65459,fnatic,15.4,15.4,7.2,3.0,1.0,11.8,75.0,3.6,83.7,0.4,T2
65459,TYLOO,11.8,11.8,5.6,3.0,1.0,15.4,63.0,-3.6,65.7,-0.4,T3
65460,Cloud9,28.0,28.0,12.2,5.6,1.6,28.4,70.5,-0.4,70.0,-1.2,T3
65460,G2,28.2,28.2,12.6,6.2,1.6,28.0,71.9,0.2,75.1,1.2,T3
65463,Natus Vincere,16.6,16.6,9.6,6.0,2.0,10.6,85.0,6.0,86.8,-1.6,T1
65463,Renegades,10.6,10.6,4.6,1.8,0.4,16.6,55.0,-6.0,63.0,1.6,T2
65464,Sprout,15.8,15.8,6.2,4.2,0.2,20.4,63.8,-4.6,70.1,-1.2,T4
65464,eXtatus,20.4,20.4,9.0,3.4,1.0,15.8,78.5,4.6,83.1,1.2,T6
65465,Liquid,18.8,18.8,9.0,5.2,1.6,11.4,85.2,7.4,86.6,1.0,T1
65465,Gambit,11.4,11.4,6.2,2.8,0.8,18.8,59.1,-7.4,61.4,-1.0,T3
65466,Astralis,16.6,16.6,6.6,6.0,1.4,6.8,87.8,9.8,95.0,0.4,T1
65466,Space Soldiers,6.8,6.8,3.4,1.0,0.8,16.6,38.9,-9.8,48.6,-0.4,T6
65467,Envy,19.2,19.2,8.0,5.4,0.8,14.0,79.1,5.2,88.1,1.4,T4
65467,G2,13.8,13.8,6.6,4.0,1.2,19.2,65.2,-5.4,71.4,-1.6,T3
65468,Sprout,25.0,25.0,6.2,4.8,0.6,27.0,65.5,-2.0,68.8,0.4,T4
65468,eXtatus,27.0,27.0,12.8,7.0,1.2,25.0,67.5,2.0,72.6,-0.4,T6
65471,Property,19.0,19.0,6.2,4.6,1.0,17.2,68.2,1.8,77.3,-0.2,T6
65471,SuperJymy,17.2,17.2,8.6,3.8,1.6,19.2,62.3,-2.0,73.5,0.2,T4
65472,Valiance,9.2,9.2,4.8,2.4,0.6,17.4,58.0,-8.2,55.4,-1.2,T4
65472,SK,17.2,17.2,7.0,3.8,0.8,9.2,86.0,8.0,91.4,1.2,T6
65473,TYLOO,19.0,19.0,9.4,4.2,0.4,21.4,69.3,-2.4,75.2,-0.4,T3
65473,Renegades,21.4,21.4,9.0,3.4,0.8,19.0,72.2,2.4,81.3,0.4,T2
65474,Nemiga,20.2,20.2,10.2,5.2,1.8,16.4,79.3,3.8,81.0,0.6,T4
65474,Nexus,16.4,16.4,7.6,4.6,1.4,20.2,64.5,-3.8,69.0,-0.6,T4
65475,LDLC,26.4,26.4,12.4,7.6,1.8,24.2,75.5,2.2,77.6,1.2,T2
65475,Singularity,24.2,24.2,9.6,6.2,1.2,26.4,71.7,-2.2,74.5,-1.2,T4
65477,Sinister5,7.8,7.8,3.0,1.8,0.6,16.6,47.8,-8.8,50.3,-1.6,T6
65477,eNergy,16.6,16.6,6.0,4.0,0.8,7.8,84.4,8.8,92.4,1.6,T5
65478,Property,26.4,26.4,11.4,6.6,1.4,23.0,70.3,3.4,79.9,-1.0,T6
65478,SuperJymy,23.0,23.0,8.8,5.4,1.0,26.4,62.9,-3.4,75.1,1.0,T4
65480,Gambit,18.8,18.8,10.0,4.2,0.6,12.8,80.0,6.0,83.7,1.4,T3
65480,Space Soldiers,12.8,12.8,6.2,2.0,0.0,18.8,53.0,-6.0,62.5,-1.4,T6
65481,Kinguin,14.8,14.8,6.8,3.0,1.0,10.6,77.0,4.2,77.3,0.4,T4
65481,Singularity,10.4,10.4,3.6,3.2,0.4,14.8,65.0,-4.4,61.2,-0.6,T4
65482,LDLC,18.0,18.0,7.6,4.4,1.2,18.8,63.7,-0.8,73.9,-1.4,T2
65482,Quantum Bellator Fire,18.8,18.8,7.2,4.0,1.4,18.0,68.9,0.8,77.9,1.4,T6
65483,Nemiga,30.0,30.0,18.0,7.6,2.2,29.2,69.5,0.8,77.9,2.4,T4
65483,Nexus,29.2,29.2,14.4,9.0,2.4,30.0,69.5,-0.8,76.7,-2.4,T4
65486,Sinister5,12.4,12.4,6.0,3.6,0.4,18.2,54.8,-5.8,61.6,-1.4,T6
65486,eNergy,18.2,18.2,8.8,5.0,0.6,12.6,74.8,5.6,84.2,1.4,T5
