match_id,team_name,player_name,K,hs,A,f,D,KAST,KD_diff,ADR,fk_dif,rating
74990, Farmers, c4lypso, 15, 10, 3, 0, 18, 61.9, -3, 80.4, 0, 0.93
74990, Farmers, fisher, 13, 8, 3, 0, 16, 57.1, -3, 72.2, -2, 0.86
74990, Farmers, rugrat, 10, 3, 2, 0, 17, 38.1, -7, 58.3, 0, 0.64
74990, Farmers, Skelly, 8, 6, 2, 0, 17, 57.1, -9, 52.3, 0, 0.54
74990, Farmers, Ange, 8, 0, 2, 0, 20, 38.1, -12, 49.0, -1, 0.39
74990, Poutine Warriors, cardiac, 26, 10, 3, 2, 7, 85.7, +19, 116.4, +5, 2.11
74990, Poutine Warriors, TenZ, 19, 14, 6, 4, 11, 76.2, +8, 97.8, -1, 1.52
74990, Poutine Warriors, LILMAN, 17, 8, 4, 2, 14, 71.4, +3, 83.2, +1, 1.34
74990, Poutine Warriors, djay, 15, 5, 5, 4, 11, 90.5, +4, 77.2, +1, 1.33
74990, Poutine Warriors, hades, 11, 3, 1, 0, 12, 66.7, -1, 64.4, -3, 0.94
74991, Farmers, fisher, 18, 13, 4, 0, 19, 60.0, -1, 84.0, -2, 1.05
74991, Farmers, c4lypso, 19, 12, 2, 0, 20, 64.0, -1, 79.6, -1, 1.02
74991, Farmers, rugrat, 19, 6, 2, 0, 19, 56.0, 0, 77.8, -1, 0.96
74991, Farmers, Ange, 14, 8, 5, 2, 16, 64.0, -2, 57.4, -4, 0.88
74991, Farmers, Skelly, 7, 4, 7, 2, 18, 64.0, -11, 57.9, +1, 0.73
74991, Poutine Warriors, TenZ, 22, 17, 5, 0, 16, 84.0, +6, 87.2, +5, 1.36
74991, Poutine Warriors, cardiac, 20, 6, 5, 1, 15, 72.0, +5, 92.8, +5, 1.35
74991, Poutine Warriors, LILMAN, 19, 12, 2, 0, 15, 68.0, +4, 85.0, -1, 1.26
74991, Poutine Warriors, djay, 17, 11, 2, 1, 15, 72.0, +2, 59.9, -2, 1.01
74991, Poutine Warriors, hades, 14, 7, 5, 0, 16, 64.0, -2, 73.8, 0, 0.96
74989, Liquid, nitr0, 23, 5, 2, 2, 16, 73.3, +7, 81.1, -2, 1.27
74989, Liquid, Twistzz, 26, 15, 2, 0, 17, 73.3, +9, 83.8, +1, 1.25
74989, Liquid, NAF, 23, 14, 2, 0, 22, 60.0, +1, 81.6, +2, 1.11
74989, Liquid, EliGE, 14, 8, 6, 0, 20, 63.3, -6, 60.1, -2, 0.86
74989, Liquid, TACO, 12, 6, 4, 1, 22, 56.7, -10, 52.9, -3, 0.61
