match_id, team_name, player_name, kills, assists, flash_assists, deaths, kd_ratio, kd_diff, adr, fk_dif, rating
76320, Red Reserve, freddieb, 23, 10, 2, 14, 0.9, 9, 95.2, 9, 1.45
76320, Red Reserve, hampus, 24, 5, 0, 19, 0.66, 5, 96.7, 5, 1.31
76320, Red Reserve, draken, 16, 3, 0, 18, 0.62, -2, 63.6, -2, 0.90
76320, Red Reserve, disco doplan, 19, 2, 0, 19, 0.59, 0, 62.4, 0, 0.86
76320, Red Reserve, RuStY, 13, 1, 0, 20, 0.69, -7, 47.6, -7, 0.70
76326, AGO, SZPERO, 27, 2, 1, 11, 0.79, 16, 106.6, 16, 1.76
76326, AGO, GruBy, 19, 4, 1, 9, 0.83, 10, 76.1, 10, 1.45
76326, AGO, Furlan, 19, 6, 1, 16, 0.71, 3, 82.7, 3, 1.30
76326, AGO, phr, 12, 2, 0, 13, 0.75, -1, 61.8, -1, 1.02
76326, AGO, Kap3r, 12, 4, 1, 14, 0.75, -2, 61.1, -2, 0.97
76326, Red Reserve, freddieb, 23, 2, 0, 16, 0.71, 7, 102.7, 7, 1.33
76326, Red Reserve, RuStY, 11, 4, 2, 17, 0.71, -6, 58.4, -6, 0.79
76326, Red Reserve, hampus, 13, 2, 2, 18, 0.54, -5, 60.7, -5, 0.72
76326, Red Reserve, draken, 10, 2, 0, 19, 0.5, -9, 48.8, -9, 0.56
76326, Red Reserve, disco doplan, 6, 5, 2, 19, 0.54, -13, 44.7, -13, 0.44
76306, Fragsters, Bubski, 19, 6, 0, 19, 0.76, 0, 93.9, 0, 1.16
76306, Fragsters, refrezh, 22, 3, 1, 19, 0.6, 3, 84.4, 3, 1.08
76306, Fragsters, stavn, 17, 0, 0, 20, 0.6, -3, 67.8, -3, 0.88
76306, Fragsters, dragonfly, 15, 0, 0, 18, 0.6, -3, 70.1, -3, 0.80
76306, Fragsters, torben, 3, 3, 1, 19, 0.56, -16, 26.8, -16, 0.43
76306, LeftOut, nukkye, 29, 5, 1, 16, 0.68, 13, 123.0, 13, 1.77
76306, LeftOut, ScreaM, 17, 7, 1, 15, 0.8, 2, 86.2, 2, 1.22
76306, LeftOut, Radifaction, 18, 7, 1, 15, 0.72, 3, 91.2, 3, 1.21
76306, LeftOut, Maikelele, 16, 1, 0, 16, 0.6, 0, 61.2, 0, 0.97
76306, LeftOut, xms, 15, 1, 0, 14, 0.64, 1, 48.3, 1, 0.92
76319, Fragsters, refrezh, 25, 3, 1, 16, 0.72, 9, 89.6, 9, 1.40
76319, Fragsters, stavn, 23, 8, 2, 19, 0.79, 4, 97.7, 4, 1.34
76319, Fragsters, Bubski, 26, 3, 0, 19, 0.76, 7, 92.1, 7, 1.32
76319, Fragsters, dragonfly, 16, 2, 0, 17, 0.76, -1, 56.5, -1, 0.99
76319, Fragsters, torben, 16, 5, 1, 16, 0.69, 0, 51.1, 0, 0.95
76319, LeftOut, ScreaM, 23, 3, 0, 18, 0.62, 5, 85.4, 5, 1.17
76319, LeftOut, nukkye, 19, 2, 1, 21, 0.69, -2, 68.0, -2, 0.90
76319, LeftOut, xms, 17, 4, 1, 22, 0.62, -5, 68.6, -5, 0.86
76319, LeftOut, Radifaction, 17, 2, 0, 23, 0.45, -6, 62.7, -6, 0.75
76319, LeftOut, Maikelele, 11, 5, 0, 22, 0.59, -11, 60.0, -11, 0.69
76325, Fragsters, dragonfly, 21, 6, 2, 13, 0.83, 8, 88.8, 8, 1.55
76325, Fragsters, Bubski, 17, 3, 0, 10, 0.74, 7, 82.0, 7, 1.38
76325, Fragsters, refrezh, 19, 3, 2, 12, 0.74, 7, 95.0, 7, 1.35
76325, Fragsters, stavn, 17, 5, 1, 14, 0.83, 3, 83.7, 3, 1.26
76325, Fragsters, torben, 11, 8, 4, 13, 0.96, -2, 51.7, -2, 0.96
76325, LeftOut, nukkye, 15, 2, 0, 16, 0.7, -1, 94.9, -1, 1.10
76325, LeftOut, ScreaM, 12, 4, 1, 18, 0.61, -6, 68.2, -6, 0.84
76325, LeftOut, Radifaction, 12, 1, 0, 16, 0.61, -4, 70.1, -4, 0.79
76325, LeftOut, Maikelele, 14, 0, 0, 15, 0.56, -1, 53.2, -1, 0.76
76325, LeftOut, xms, 9, 1, 1, 20, 0.35, -11, 39.7, -11, 0.47
76312, LDLC, LOGAN, 22, 1, 0, 12, 0.78, 10, 81.3, 10, 1.41
76312, LDLC, AmaNEk, 20, 3, 1, 11, 0.87, 9, 83.4, 9, 1.31
76312, LDLC, ALEX, 18, 5, 1, 17, 0.65, 1, 78.7, 1, 1.16
76312, LDLC, to1nou, 13, 7, 1, 15, 0.74, -2, 78.5, -2, 1.08
76312, LDLC, devoduvek, 17, 8, 0, 19, 0.78, -2, 90.7, -2, 1.07
76312, x6tence Galaxy, nawwk, 22, 1, 0, 17, 0.78, 5, 83.1, 5, 1.37
76312, x6tence Galaxy, Plopski, 20, 2, 0, 18, 0.65, 2, 90.0, 2, 1.14
76312, x6tence Galaxy, BARBARR, 14, 3, 0, 17, 0.61, -3, 64.0, -3, 0.91
76312, x6tence Galaxy, ZINKEN, 9, 5, 2, 19, 0.78, -10, 52.3, -10, 0.76
76312, x6tence Galaxy, Bååten, 9, 3, 0, 19, 0.65, -10, 58.8, -10, 0.76
76316, LDLC, ALEX, 9, 4, 2, 16, 0.59, -7, 71.8, -7, 0.65
76316, LDLC, AmaNEk, 10, 1, 0, 17, 0.59, -7, 73.2, -7, 0.65
76316, LDLC, devoduvek, 7, 2, 0, 16, 0.41, -9, 60.5, -9, 0.57
76316, LDLC, LOGAN, 6, 1, 0, 15, 0.23, -9, 49.6, -9, 0.49
76316, LDLC, to1nou, 7, 0, 0, 16, 0.53, -9, 40.8, -9, 0.46
76316, x6tence Galaxy, nawwk, 24, 4, 1, 7, 0.88, 17, 134.6, 17, 2.23
76316, x6tence Galaxy, BARBARR, 20, 3, 0, 8, 0.88, 12, 101.6, 12, 1.74
76316, x6tence Galaxy, Bååten, 14, 9, 3, 8, 0.88, 6, 103.1, 6, 1.53
76316, x6tence Galaxy, ZINKEN, 13, 4, 1, 7, 0.82, 6, 66.0, 6, 1.28
76316, x6tence Galaxy, Plopski, 9, 4, 0, 9, 0.88, 0, 75.1, 0, 1.06
76324, LDLC, AmaNEk, 28, 3, 1, 17, 0.79, 11, 87.8, 11, 1.48
76324, LDLC, devoduvek, 19, 8, 0, 21, 0.76, -2, 89.3, -2, 1.02
76324, LDLC, to1nou, 16, 3, 0, 19, 0.66, -3, 58.2, -3, 0.91
76324, LDLC, ALEX, 18, 1, 0, 22, 0.52, -4, 59.8, -4, 0.82
76324, LDLC, LOGAN, 15, 4, 0, 22, 0.59, -7, 62.3, -7, 0.76
76324, x6tence Galaxy, Bååten, 26, 3, 0, 18, 0.69, 8, 96.1, 8, 1.28
