match_id, team_name, player_name, kills, assists, flash_assists, deaths, kd_ratio, kd_diff, adr, fk_dif, rating
77529, G2, Ex6TenZ, 6, 3, 1, 18, 0.524, -12, 38.9, -12, 0.41
77528, Astralis, Xyp9x, 17, 3, 1, 17, 0.577, 0, 80.4, 0, 1.11
77528, Astralis, dupreeh, 16, 1, 0, 19, 0.5, -3, 78.8, -3, 0.92
77528, Astralis, Magisk, 12, 4, 2, 19, 0.615, -7, 58.5, -7, 0.77
77528, Astralis, device, 13, 3, 1, 20, 0.615, -7, 56.2, -7, 0.72
77528, Astralis, gla1ve, 13, 3, 2, 19, 0.5, -6, 54.2, -6, 0.67
77528, AGO, Kap3r, 28, 6, 1, 11, 0.769, 17, 110.3, 17, 1.70
77528, AGO, SZPERO, 24, 2, 1, 16, 0.769, 8, 88.2, 8, 1.38
77528, AGO, GruBy, 16, 9, 5, 15, 0.692, 1, 72.5, 1, 1.06
77528, AGO, Furlan, 14, 5, 1, 13, 0.654, 1, 54.7, 1, 0.92
77528, AGO, phr, 12, 5, 2, 16, 0.654, -4, 57.8, -4, 0.80
77527, North, valde, 15, 6, 2, 18, 0.667, -3, 86.4, -3, 0.97
77527, North, aizy, 12, 3, 0, 18, 0.476, -6, 60.6, -6, 0.66
77527, North, gade, 11, 1, 0, 18, 0.381, -7, 34.9, -7, 0.51
77527, North, cadiaN, 6, 5, 3, 17, 0.333, -11, 45.5, -11, 0.45
77527, North, Kjaerbye, 6, 2, 0, 20, 0.476, -14, 52.7, -14, 0.41
77527, Windigo, v1c7oR, 26, 5, 3, 9, 0.81, 17, 122.9, 17, 1.91
77527, Windigo, poizon, 17, 6, 2, 10, 0.762, 7, 88.0, 7, 1.47
77527, Windigo, SHiPZ, 18, 5, 0, 10, 0.905, 8, 84.5, 8, 1.47
77527, Windigo, bubble, 17, 6, 1, 9, 0.857, 8, 85.9, 8, 1.41
77527, Windigo, blocker, 13, 4, 1, 12, 0.619, 1, 67.4, 1, 1.01
77526, fnatic, KRIMZ, 17, 3, 0, 11, 0.85, 6, 93.1, 6, 1.44
77526, fnatic, Brollan, 14, 7, 4, 10, 0.85, 4, 82.3, 4, 1.33
77526, fnatic, JW, 15, 2, 0, 10, 0.7, 5, 65.8, 5, 1.33
77526, fnatic, Xizt, 16, 4, 2, 8, 0.85, 8, 76.8, 8, 1.27
77526, fnatic, twist, 16, 2, 1, 14, 0.7, 2, 92.5, 2, 1.20
77526, ex-Space Soldiers, XANTARES, 17, 6, 1, 15, 0.7, 2, 98.0, 2, 1.17
77526, ex-Space Soldiers, MAJ3R, 12, 2, 0, 16, 0.6, -4, 64.8, -4, 0.80
77526, ex-Space Soldiers, Calyx, 12, 0, 0, 16, 0.65, -4, 58.9, -4, 0.73
77526, ex-Space Soldiers, ngiN, 6, 4, 0, 16, 0.6, -10, 53.4, -10, 0.60
77526, ex-Space Soldiers, paz, 6, 3, 1, 15, 0.7, -9, 52.4, -9, 0.57
77525, FaZe, olofmeister, 15, 2, 0, 18, 0.5, -3, 70.5, -3, 0.82
77525, FaZe, NiKo, 10, 3, 2, 19, 0.5, -9, 47.3, -9, 0.75
77525, FaZe, rain, 11, 1, 0, 18, 0.591, -7, 54.9, -7, 0.74
77525, FaZe, karrigan, 11, 4, 2, 19, 0.545, -8, 62.5, -8, 0.71
77525, FaZe, GuardiaN, 11, 1, 0, 18, 0.545, -7, 51.6, -7, 0.62
77525, Heroic, mertz, 22, 4, 1, 11, 0.773, 11, 80.6, 11, 1.54
77525, Heroic, AcilioN, 20, 6, 2, 11, 0.818, 9, 94.6, 9, 1.44
77525, Heroic, es3tag, 18, 7, 1, 10, 0.909, 8, 86.1, 8, 1.35
77525, Heroic, friberg, 17, 7, 0, 14, 0.773, 3, 96.3, 3, 1.32
77525, Heroic, MODDII, 14, 4, 1, 12, 0.773, 2, 66.1, 2, 1.11
77521, ex-Space Soldiers, XANTARES, 27, 5, 1, 24, 0.629, 3, 87.6, 3, 1.12
77521, ex-Space Soldiers, Calyx, 26, 3, 2, 22, 0.743, 4, 75.3, 4, 1.11
77521, ex-Space Soldiers, MAJ3R, 23, 10, 5, 26, 0.6, -3, 78.9, -3, 0.94
77521, ex-Space Soldiers, ngiN, 16, 10, 3, 24, 0.629, -8, 57.0, -8, 0.84
77521, ex-Space Soldiers, paz, 16, 4, 3, 25, 0.6, -9, 49.7, -9, 0.69
77521, fnatic, Brollan, 35, 4, 3, 16, 0.771, 19, 91.2, 19, 1.52
77521, fnatic, KRIMZ, 24, 9, 3, 23, 0.686, 1, 79.7, 1, 1.15
77521, fnatic, twist, 23, 7, 0, 23, 0.657, 0, 80.0, 0, 1.11
77521, fnatic, JW, 23, 7, 1, 24, 0.743, -1, 65.0, -1, 1.04
77521, fnatic, Xizt, 16, 11, 4, 22, 0.629, -6, 62.7, -6, 0.90
77518, G2, Ex6TenZ, 37, 3, 1, 30, 0.8, 7, 101.5, 7, 1.37
77518, G2, bodyy, 27, 7, 3, 25, 0.7, 2, 72.2, 2, 1.10
77518, G2, kennyS, 28, 5, 3, 26, 0.675, 2, 70.2, 2, 1.01
77518, G2, shox, 24, 5, 2, 29, 0.65, -5, 65.2, -5, 0.91
77518, G2, SmithZz, 19, 9, 2, 30, 0.675, -11, 58.2, -11, 0.74
77518, HellRaisers, ISSAA, 42, 5, 0, 27, 0.825, 15, 101.0, 15, 1.47
77518, HellRaisers, Hobbit, 29, 6, 0, 29, 0.75, 0, 89.1, 0, 1.19
77518, HellRaisers, woxic, 34, 4, 3, 23, 0.725, 11, 78.5, 11, 1.15
77518, HellRaisers, ANGE1, 22, 9, 3, 28, 0.675, -6, 64.1, -6, 0.95
77518, HellRaisers, DeadFox, 13, 8, 1, 28, 0.7, -15, 56.0, -15, 0.74
77516, mousesports, chrisJ, 30, 1, 0, 17, 0.8, 13, 101.2, 13, 1.57
77516, mousesports, suNny, 20, 1, 0, 17, 0.6, 3, 68.7, 3, 1.05
77516, mousesports, ropz, 18, 1, 0, 17, 0.533, 1, 70.8, 1, 0.95
77516, mousesports, oskar, 17, 3, 0, 24, 0.533, -7, 63.0, -7, 0.75
77516, mousesports, STYKO, 11, 3, 1, 19, 0.667, -8, 45.8, -8, 0.69
77516, NiP, GeT_RiGhT, 22, 1, 0, 17, 0.767, 5, 78.3, 5, 1.16
77516, NiP, dennis, 23, 4, 1, 22, 0.633, 1, 78.5, 1, 1.12
77516, NiP, Lekr0, 18, 1, 1, 20, 0.533, -2, 69.8, -2, 0.88
77516, NiP, REZ, 17, 1, 0, 21, 0.567, -4, 64.1, -4, 0.83
77516, NiP, f0rest, 14, 3, 1, 17, 0.667, -3, 63.1, -3, 0.81
77515, AGO, GruBy, 21, 2, 0, 19, 0.778, 2, 73.6, 2, 1.11
77515, AGO, phr, 17, 6, 1, 20, 0.741, -3, 95.0, -3, 1.06
77515, AGO, Furlan, 18, 6, 1, 22, 0.667, -4, 76.0, -4, 0.91
77515, AGO, Kap3r, 11, 6, 1, 21, 0.778, -10, 50.9, -10, 0.78
77515, AGO, SZPERO, 13, 4, 1, 19, 0.556, -6, 51.4, -6, 0.69
77515, Astralis, Magisk, 27, 7, 1, 15, 0.778, 12, 117.3, 12, 1.67
77515, Astralis, Xyp9x, 25, 5, 0, 15, 0.815, 10, 99.0, 10, 1.42
77515, Astralis, dupreeh, 23, 5, 1, 18, 0.778, 5, 90.9, 5, 1.37
77515, Astralis, device, 16, 7, 2, 16, 0.815, 0, 68.7, 0, 1.03
77515, Astralis, gla1ve, 10, 4, 1, 16, 0.704, -6, 36.3, -6, 0.78
77514, Windigo, bubble, 17, 4, 0, 21, 0.783, -4, 91.0, -4, 1.04
77514, Windigo, v1c7oR, 14, 1, 0, 20, 0.609, -6, 64.6, -6, 0.90
77514, Windigo, blocker, 11, 6, 0, 19, 0.739, -8, 64.1, -8, 0.85
77514, Windigo, SHiPZ, 14, 4, 2, 20, 0.652, -6, 70.0, -6, 0.85
77514, Windigo, poizon, 10, 4, 2, 20, 0.652, -10, 46.9, -10, 0.60
77514, North, valde, 21, 8, 2, 16, 0.826, 5, 104.3, 5, 1.52
77514, North, Kjaerbye, 22, 7, 2, 13, 0.826, 9, 104.5, 9, 1.47
77514, North, cadiaN, 19, 5, 3, 11, 0.913, 8, 80.8, 8, 1.46
77514, North, aizy, 19, 8, 5, 10, 0.87, 9, 87.2, 9, 1.40
77514, North, gade, 17, 5, 0, 16, 0.739, 1, 76.1, 1, 1.11
77512, BIG, nex, 25, 3, 0, 10, 0.81, 15, 104.2, 15, 1.72
77512, BIG, tiziaN, 21, 7, 2, 13, 0.762, 8, 108.5, 8, 1.63
77512, BIG, tabseN, 15, 4, 1, 11, 0.81, 4, 82.9, 4, 1.21
77512, BIG, smooya, 16, 1, 0, 13, 0.714, 3, 69.9, 3, 1.17
77512, BIG, gob b, 14, 8, 3, 12, 0.81, 2, 78.6, 2, 1.14
77512, Natus Vincere, flamie, 22, 2, 0, 16, 0.667, 6, 108.1, 6, 1.45
77512, Natus Vincere, s1mple, 17, 2, 0, 17, 0.619, 0, 82.0, 0, 1.02
77512, Natus Vincere, Edward, 15, 3, 0, 20, 0.667, -5, 80.0, -5, 0.92
77512, Natus Vincere, Zeus, 5, 2, 0, 19, 0.333, -14, 35.4, -14, 0.35
77512, Natus Vincere, Kane, 0, 1, 0, 19, 0.19, -19, 13.4, -19, 0.09
77511, Heroic, MODDII, 22, 1, 0, 9, 0.789, 13, 106.3, 13, 1.78
77511, Heroic, AcilioN, 18, 6, 3, 11, 0.737, 7, 91.1, 7, 1.53
77511, Heroic, friberg, 19, 2, 0, 11, 0.842, 8, 100.4, 8, 1.52
77511, Heroic, es3tag, 10, 5, 1, 14, 0.895, -4, 69.2, -4, 1.20
77511, Heroic, mertz, 10, 3, 0, 12, 0.737, -2, 67.3, -2, 0.95
77511, FaZe, olofmeister, 13, 3, 0, 14, 0.684, -1, 85.3, -1, 0.97
77511, FaZe, GuardiaN, 13, 4, 2, 15, 0.684, -2, 73.6, -2, 0.96
77511, FaZe, NiKo, 13, 0, 0, 17, 0.526, -4, 75.8, -4, 0.76
77511, FaZe, karrigan, 8, 1, 0, 15, 0.526, -7, 55.0, -7, 0.58
77511, FaZe, rain, 10, 2, 0, 18, 0.474, -8, 60.4, -8, 0.58
77560, Rogue, vice, 26, 3, 0, 16, 0.786, 10, 98.5, 10, 1.47
77560, Rogue, Rickeh, 24, 5, 1, 15, 0.786, 9, 84.9, 9, 1.46
77560, Rogue, MSL, 16, 10, 5, 17, 0.679, -1, 64.5, -1, 1.07
77560, Rogue, SicK, 14, 5, 0, 13, 0.786, 1, 70.9, 1, 1.06
77560, Rogue, Hiko, 12, 2, 0, 15, 0.786, -3, 47.9, -3, 0.92
77560, INTZ, chelo, 19, 7, 2, 18, 0.821, 1, 86.4, 1, 1.22
77560, INTZ, horvy, 17, 3, 1, 15, 0.714, 2, 56.0, 2, 1.01
77560, INTZ, kNgV-, 14, 5, 1, 19, 0.75, -5, 65.3, -5, 0.87
77560, INTZ, felps, 15, 8, 7, 19, 0.643, -4, 55.6, -4, 0.85
77560, INTZ, xand, 11, 1, 0, 21, 0.607, -10, 35.8, -10, 0.50
77559, MIBR, FalleN, 23, 11, 7, 14, 0.786, 9, 90.0, 9, 1.44
77559, MIBR, coldzera, 25, 5, 2, 15, 0.75, 10, 85.6, 10, 1.31
77559, MIBR, tarik, 18, 6, 1, 19, 0.643, -1, 69.5, -1, 1.02
77559, MIBR, Stewie2K, 15, 4, 1, 16, 0.643, -1, 58.6, -1, 0.91
77559, MIBR, fer, 13, 4, 0, 21, 0.536, -8, 59.4, -8, 0.70
77559, compLexity, stanislaw, 19, 4, 0, 14, 0.643, 5, 80.1, 5, 1.13
77559, compLexity, ANDROID, 20, 4, 0, 19, 0.643, 1, 71.8, 1, 1.06
77559, compLexity, dephh, 18, 2, 0, 19, 0.643, -1, 70.6, -1, 0.96
77559, compLexity, yay, 17, 4, 1, 21, 0.607, -4, 69.4, -4, 0.88
77559, compLexity, ShahZaM, 11, 4, 1, 21, 0.536, -10, 47.5, -10, 0.74
77558, Luminosity, yeL, 21, 5, 2, 21, 0.556, 0, 81.6, 0, 1.07
77558, Luminosity, LUCAS1, 16, 4, 1, 23, 0.63, -7, 77.9, -7, 0.88
77558, Luminosity, NEKIZ, 17, 4, 1, 21, 0.667, -4, 62.6, -4, 0.87
77558, Luminosity, HEN1, 14, 4, 0, 20, 0.593, -6, 67.8, -6, 0.78
77558, Luminosity, steel, 9, 3, 1, 22, 0.519, -13, 40.4, -13, 0.45
77558, eUnited, dapr, 26, 8, 1, 16, 0.815, 10, 107.0, 10, 1.58
77558, eUnited, moose, 28, 8, 0, 16, 0.815, 12, 97.6, 12, 1.48
77558, eUnited, Relyks, 25, 4, 2, 12, 0.815, 13, 86.4, 13, 1.43
77558, eUnited, dazzLe, 20, 6, 1, 17, 0.778, 3, 78.1, 3, 1.20
77558, eUnited, FNS, 8, 4, 0, 16, 0.667, -8, 42.1, -8, 0.66
77557, Cloud9, RUSH, 24, 5, 0, 19, 0.667, 5, 99.7, 5, 1.43
77557, Cloud9, flusha, 22, 5, 2, 14, 0.741, 8, 86.7, 8, 1.38
77557, Cloud9, kioShiMa, 22, 3, 0, 18, 0.778, 4, 82.6, 4, 1.19
77557, Cloud9, autimatic, 16, 4, 0, 17, 0.593, -1, 74.2, -1, 0.97
77557, Cloud9, valens, 10, 3, 1, 19, 0.593, -9, 40.7, -9, 0.57
77557, NRG, nahtE, 22, 7, 2, 20, 0.704, 2, 88.5, 2, 1.22
77557, NRG, Brehze, 22, 2, 0, 21, 0.704, 1, 80.9, 1, 1.16
77557, NRG, CeRq, 17, 4, 1, 18, 0.704, -1, 70.5, -1, 0.96
77557, NRG, FugLy, 15, 3, 0, 18, 0.778, -3, 55.1, -3, 0.91
77557, NRG, daps, 11, 5, 2, 17, 0.63, -6, 55.0, -6, 0.72
77556, Ghost, steel, 27, 5, 3, 17, 0.667, 10, 101.3, 10, 1.52
77556, Ghost, WARDELL, 18, 8, 3, 17, 0.778, 1, 67.6, 1, 1.11
77556, Ghost, neptune, 16, 1, 0, 15, 0.778, 1, 58.4, 1, 1.02
