65415,HAVU,xartE,18.5,8.3,4.9,1.2,17.0,71.7,1.5,76.6,0.2,1.1
65423,Enyoy,jayzaR,18.7,8.1,4.9,1.3,18.4,69.7,0.2,75.2,0.3,1.1
65423,Syman,SANJI,18.1,9.0,4.1,0.7,18.6,67.9,-0.5,73.4,-0.0,1.0
65421,Tricked,glace,17.3,8.6,4.3,1.2,17.0,69.7,0.3,73.4,0.0,1.1
65421,Playing Ducks,Zarin,14.9,7.7,3.0,0.6,18.9,60.6,-3.9,67.2,-0.4,0.9
65425,Epiphany Bolt,WolfY,14.3,7.5,3.7,0.8,19.6,59.0,-5.3,64.4,-0.9,0.8
65423,Enyoy,jayzaR,18.7,8.1,4.9,1.3,18.4,69.7,0.2,75.2,0.3,1.1
65413,Kinguin,TaZ,18.8,8.8,4.6,1.0,17.5,71.8,1.3,76.2,0.3,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65416,EURONICS,faveN,18.2,8.7,5.0,1.6,17.8,70.4,0.3,74.9,0.1,1.1
65427,Epsilon,smooya,17.2,7.8,4.5,1.3,17.5,68.6,-0.3,73.4,0.0,1.0
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65406,AGO,phr,18.0,8.0,4.5,1.1,17.9,69.3,0.1,74.4,-0.1,1.1
65429,Singularity,HugoXD,17.6,7.6,4.7,1.1,17.8,69.8,-0.2,73.9,-0.1,1.0
65387,GODSENT,disco doplan,18.5,8.3,4.5,1.1,17.4,71.0,1.1,78.3,0.2,1.1
65430,Quantum Bellator Fire,jmqa,17.9,7.8,4.5,1.1,18.0,69.4,-0.1,74.8,-0.1,1.1
65430,Ha MaSSe,bloody wolf,16.4,7.7,3.6,0.4,18.8,65.4,-2.4,71.0,-0.4,1.0
65425,Epiphany Bolt,WolfY,14.3,7.5,3.7,0.8,19.6,59.0,-5.3,64.4,-0.9,0.8
65423,Enyoy,jayzaR,18.7,8.1,4.9,1.3,18.4,69.7,0.2,75.2,0.3,1.1
65416,EURONICS,faveN,18.2,8.7,5.0,1.6,17.8,70.4,0.3,74.9,0.1,1.1
65427,Epsilon,smooya,17.2,7.8,4.5,1.3,17.5,68.6,-0.3,73.4,0.0,1.0
65429,Singularity,HugoXD,17.6,7.6,4.7,1.1,17.8,69.8,-0.2,73.9,-0.1,1.0
65387,GODSENT,disco doplan,18.5,8.3,4.5,1.1,17.4,71.0,1.1,78.3,0.2,1.1
65434,fnatic Academy,ec1s,17.3,7.6,4.4,1.0,17.4,69.3,-0.1,74.0,0.1,1.0
65434,GameAgents,gabesson,17.4,7.3,4.5,1.0,18.8,69.1,-1.4,73.3,-0.1,1.0
65413,Kinguin,TaZ,18.8,8.8,4.6,1.0,17.5,71.8,1.3,76.2,0.3,1.1
65426,eXtatus,frozen,18.3,8.4,4.4,0.9,20.2,67.5,-1.9,72.6,-0.6,1.0
65430,Quantum Bellator Fire,jmqa,17.9,7.8,4.5,1.1,18.0,69.4,-0.1,74.8,-0.1,1.1
65430,Ha MaSSe,bloody wolf,16.4,7.7,3.6,0.4,18.8,65.4,-2.4,71.0,-0.4,1.0
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65406,AGO,phr,18.0,8.0,4.5,1.1,17.9,69.3,0.1,74.4,-0.1,1.1
65419,Windigo,pNshr,18.2,8.2,4.8,1.2,17.6,72.2,0.6,76.1,0.0,1.1
65406,AGO,phr,18.0,8.0,4.5,1.1,17.9,69.3,0.1,74.4,-0.1,1.1
65441,Rogue,cadiaN,17.9,8.1,4.7,1.3,17.2,71.3,0.7,73.7,0.1,1.1
65441,Dignitas,Grim,18.2,7.8,4.6,1.3,17.7,70.4,0.5,74.6,0.2,1.1
65393,C4,krg,17.2,7.1,4.2,0.7,17.8,69.4,-0.6,73.9,-0.1,1.0
